date,phu_name,phu_num,outbreak_group,number_ongoing_outbreaks
2020-11-03,EASTERN ONTARIO,2258,1 Congregate Care,4
2020-11-03,GREY BRUCE,2233,1 Congregate Care,1
2020-11-03,HALDIMAND-NORFOLK,2234,6 Other/Unknown,1
2020-11-03,HALDIMAND-NORFOLK,2234,1 Congregate Care,1
2020-11-03,HALDIMAND-NORFOLK,2234,4 Workplace,1
2020-11-03,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,1 Congregate Care,1
2020-11-03,HALTON REGION,2236,5 Recreational,3
2020-11-03,HALTON REGION,2236,2 Congregate Living,3
2020-11-03,HALTON REGION,2236,1 Congregate Care,5
2020-11-03,HALTON REGION,2236,4 Workplace,1
2020-11-03,HASTINGS & PRINCE EDWARD COUNTIES,2238,4 Workplace,1
2020-11-03,HURON PERTH,5183,4 Workplace,1
2020-11-03,HURON PERTH,5183,1 Congregate Care,2
2020-11-03,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,3 Education,1
2020-11-03,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,1 Congregate Care,1
2020-11-03,LAMBTON COUNTY,2242,4 Workplace,1
2020-11-03,LAMBTON COUNTY,2242,1 Congregate Care,1
2020-11-03,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,4 Workplace,1
2020-11-03,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,1 Congregate Care,2
2020-11-03,MIDDLESEX-LONDON,2244,6 Other/Unknown,3
2020-11-03,MIDDLESEX-LONDON,2244,5 Recreational,1
2020-11-03,MIDDLESEX-LONDON,2244,4 Workplace,1
2020-11-03,MIDDLESEX-LONDON,2244,3 Education,1
2020-11-03,MIDDLESEX-LONDON,2244,2 Congregate Living,1
2020-11-03,MIDDLESEX-LONDON,2244,1 Congregate Care,10
2020-11-03,NIAGARA REGION,2246,6 Other/Unknown,2
2020-11-03,NIAGARA REGION,2246,5 Recreational,1
2020-11-03,NIAGARA REGION,2246,4 Workplace,2
2020-11-03,NIAGARA REGION,2246,1 Congregate Care,4
2020-11-03,NIAGARA REGION,2246,3 Education,1
2020-11-03,NORTHWESTERN,2249,3 Education,1
2020-11-03,NORTHWESTERN,2249,1 Congregate Care,1
2020-11-03,OXFORD ELGIN-ST.THOMAS,4913,6 Other/Unknown,1
2020-11-03,PEEL REGION,2253,6 Other/Unknown,7
2020-11-03,PEEL REGION,2253,5 Recreational,7
2020-11-03,PEEL REGION,2253,4 Workplace,66
2020-11-03,PEEL REGION,2253,3 Education,29
2020-11-03,PEEL REGION,2253,2 Congregate Living,9
2020-11-03,PEEL REGION,2253,1 Congregate Care,12
2020-11-03,PETERBOROUGH COUNTY-CITY,2255,1 Congregate Care,1
2020-11-03,PORCUPINE,2256,4 Workplace,1
2020-11-03,RENFREW COUNTY AND DISTRICT,2257,4 Workplace,1
2020-11-03,RENFREW COUNTY AND DISTRICT,2257,1 Congregate Care,5
2020-11-03,SIMCOE MUSKOKA DISTRICT,2260,6 Other/Unknown,1
2020-11-03,SIMCOE MUSKOKA DISTRICT,2260,4 Workplace,3
2020-11-03,SIMCOE MUSKOKA DISTRICT,2260,3 Education,3
2020-11-03,SIMCOE MUSKOKA DISTRICT,2260,2 Congregate Living,1
2020-11-03,SIMCOE MUSKOKA DISTRICT,2260,1 Congregate Care,3
2020-11-03,SUDBURY AND DISTRICT,2261,6 Other/Unknown,1
2020-11-03,SUDBURY AND DISTRICT,2261,3 Education,1
2020-11-03,TORONTO,3895,6 Other/Unknown,2
2020-11-03,TORONTO,3895,5 Recreational,6
2020-11-03,TORONTO,3895,4 Workplace,18
2020-11-03,TORONTO,3895,3 Education,19
2020-11-03,TORONTO,3895,2 Congregate Living,17
2020-11-03,TORONTO,3895,1 Congregate Care,35
2020-11-03,WATERLOO REGION,2265,6 Other/Unknown,2
2020-11-03,WATERLOO REGION,2265,4 Workplace,2
2020-11-03,WATERLOO REGION,2265,3 Education,5
2020-11-03,WATERLOO REGION,2265,1 Congregate Care,1
2020-11-03,WELLINGTON-DUFFERIN-GUELPH,2266,5 Recreational,1
2020-11-03,WELLINGTON-DUFFERIN-GUELPH,2266,4 Workplace,4
2020-11-03,WELLINGTON-DUFFERIN-GUELPH,2266,3 Education,1
2020-11-03,WELLINGTON-DUFFERIN-GUELPH,2266,2 Congregate Living,1
2020-11-03,WELLINGTON-DUFFERIN-GUELPH,2266,1 Congregate Care,3
2020-11-03,WINDSOR-ESSEX COUNTY,2268,5 Recreational,1
2020-11-03,WINDSOR-ESSEX COUNTY,2268,4 Workplace,3
2020-11-03,WINDSOR-ESSEX COUNTY,2268,1 Congregate Care,6
2020-11-03,YORK REGION,2270,6 Other/Unknown,2
2020-11-03,YORK REGION,2270,5 Recreational,5
2020-11-03,YORK REGION,2270,4 Workplace,22
2020-11-03,YORK REGION,2270,3 Education,16
2020-11-03,YORK REGION,2270,2 Congregate Living,5
2020-11-03,YORK REGION,2270,1 Congregate Care,10
2020-11-04,BRANT COUNTY,2227,1 Congregate Care,1
2020-11-04,BRANT COUNTY,2227,4 Workplace,1
2020-11-04,CHATHAM-KENT,2240,5 Recreational,1
2020-11-04,CHATHAM-KENT,2240,4 Workplace,1
2020-11-04,CHATHAM-KENT,2240,2 Congregate Living,1
2020-11-04,CITY OF HAMILTON,2237,1 Congregate Care,5
2020-11-04,CITY OF HAMILTON,2237,3 Education,1
2020-11-04,CITY OF HAMILTON,2237,4 Workplace,3
2020-11-04,CITY OF HAMILTON,2237,6 Other/Unknown,2
2020-11-04,CITY OF HAMILTON,2237,5 Recreational,1
2020-11-04,CITY OF OTTAWA,2251,4 Workplace,1
2020-11-04,CITY OF OTTAWA,2251,3 Education,7
2020-11-04,CITY OF OTTAWA,2251,2 Congregate Living,7
2020-11-04,CITY OF OTTAWA,2251,1 Congregate Care,28
2020-11-04,DURHAM REGION,2230,3 Education,1
2020-11-04,DURHAM REGION,2230,4 Workplace,2
2020-11-04,DURHAM REGION,2230,2 Congregate Living,2
2020-11-04,DURHAM REGION,2230,1 Congregate Care,4
2020-11-04,DURHAM REGION,2230,5 Recreational,1
2020-11-04,EASTERN ONTARIO,2258,3 Education,4
2020-11-04,EASTERN ONTARIO,2258,1 Congregate Care,4
2020-11-04,GREY BRUCE,2233,1 Congregate Care,1
2020-11-04,HALDIMAND-NORFOLK,2234,1 Congregate Care,1
2020-11-04,HALDIMAND-NORFOLK,2234,6 Other/Unknown,1
2020-11-04,HALDIMAND-NORFOLK,2234,4 Workplace,1
2020-11-04,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,1 Congregate Care,1
2020-11-04,HALTON REGION,2236,4 Workplace,1
2020-11-04,HALTON REGION,2236,1 Congregate Care,7
2020-11-04,HALTON REGION,2236,2 Congregate Living,3
2020-11-04,HALTON REGION,2236,5 Recreational,3
2020-11-04,HASTINGS & PRINCE EDWARD COUNTIES,2238,4 Workplace,1
2020-11-04,HURON PERTH,5183,1 Congregate Care,2
2020-11-04,HURON PERTH,5183,4 Workplace,1
2020-11-04,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,1 Congregate Care,1
2020-11-04,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,3 Education,1
2020-11-04,LAMBTON COUNTY,2242,1 Congregate Care,1
2020-11-04,LAMBTON COUNTY,2242,4 Workplace,1
2020-11-04,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,1 Congregate Care,2
2020-11-04,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,4 Workplace,1
2020-11-04,MIDDLESEX-LONDON,2244,5 Recreational,4
2020-11-04,MIDDLESEX-LONDON,2244,4 Workplace,1
2020-11-04,MIDDLESEX-LONDON,2244,3 Education,1
2020-11-04,MIDDLESEX-LONDON,2244,1 Congregate Care,9
2020-11-04,MIDDLESEX-LONDON,2244,2 Congregate Living,1
2020-11-04,NIAGARA REGION,2246,6 Other/Unknown,2
2020-11-04,NIAGARA REGION,2246,5 Recreational,1
2020-11-04,NIAGARA REGION,2246,4 Workplace,3
2020-11-04,NIAGARA REGION,2246,3 Education,1
2020-11-04,NIAGARA REGION,2246,1 Congregate Care,4
2020-11-04,NORTHWESTERN,2249,3 Education,1
2020-11-04,NORTHWESTERN,2249,1 Congregate Care,1
2020-11-04,OXFORD ELGIN-ST.THOMAS,4913,6 Other/Unknown,1
2020-11-04,PEEL REGION,2253,5 Recreational,10
2020-11-04,PEEL REGION,2253,4 Workplace,67
2020-11-04,PEEL REGION,2253,3 Education,30
2020-11-04,PEEL REGION,2253,2 Congregate Living,11
2020-11-04,PEEL REGION,2253,1 Congregate Care,13
2020-11-04,PEEL REGION,2253,6 Other/Unknown,3
2020-11-04,PETERBOROUGH COUNTY-CITY,2255,1 Congregate Care,1
2020-11-04,PORCUPINE,2256,4 Workplace,1
2020-11-04,RENFREW COUNTY AND DISTRICT,2257,4 Workplace,1
2020-11-04,RENFREW COUNTY AND DISTRICT,2257,1 Congregate Care,5
2020-11-04,SIMCOE MUSKOKA DISTRICT,2260,6 Other/Unknown,1
2020-11-04,SIMCOE MUSKOKA DISTRICT,2260,5 Recreational,1
2020-11-04,SIMCOE MUSKOKA DISTRICT,2260,4 Workplace,2
2020-11-04,SIMCOE MUSKOKA DISTRICT,2260,3 Education,4
2020-11-04,SIMCOE MUSKOKA DISTRICT,2260,2 Congregate Living,1
2020-11-04,SIMCOE MUSKOKA DISTRICT,2260,1 Congregate Care,5
2020-11-04,SUDBURY AND DISTRICT,2261,5 Recreational,1
2020-11-04,SUDBURY AND DISTRICT,2261,3 Education,1
2020-11-04,TIMISKAMING,2263,6 Other/Unknown,1
2020-11-04,TORONTO,3895,6 Other/Unknown,2
2020-11-04,TORONTO,3895,5 Recreational,6
2020-11-04,TORONTO,3895,4 Workplace,19
2020-11-04,TORONTO,3895,3 Education,18
2020-11-04,TORONTO,3895,2 Congregate Living,19
2020-11-04,TORONTO,3895,1 Congregate Care,36
2020-11-04,WATERLOO REGION,2265,6 Other/Unknown,1
2020-11-04,WATERLOO REGION,2265,5 Recreational,1
2020-11-04,WATERLOO REGION,2265,4 Workplace,2
2020-11-04,WATERLOO REGION,2265,3 Education,5
2020-11-04,WATERLOO REGION,2265,1 Congregate Care,1
2020-11-04,WELLINGTON-DUFFERIN-GUELPH,2266,6 Other/Unknown,1
2020-11-04,WELLINGTON-DUFFERIN-GUELPH,2266,5 Recreational,1
2020-11-04,WELLINGTON-DUFFERIN-GUELPH,2266,4 Workplace,5
2020-11-04,WELLINGTON-DUFFERIN-GUELPH,2266,3 Education,1
2020-11-04,WELLINGTON-DUFFERIN-GUELPH,2266,2 Congregate Living,1
2020-11-04,WELLINGTON-DUFFERIN-GUELPH,2266,1 Congregate Care,3
2020-11-04,WINDSOR-ESSEX COUNTY,2268,5 Recreational,1
2020-11-04,WINDSOR-ESSEX COUNTY,2268,4 Workplace,3
2020-11-04,WINDSOR-ESSEX COUNTY,2268,1 Congregate Care,6
2020-11-04,YORK REGION,2270,5 Recreational,7
2020-11-04,YORK REGION,2270,4 Workplace,22
2020-11-04,YORK REGION,2270,3 Education,18
2020-11-04,YORK REGION,2270,2 Congregate Living,5
2020-11-04,YORK REGION,2270,1 Congregate Care,10
2020-11-05,BRANT COUNTY,2227,4 Workplace,1
2020-11-05,BRANT COUNTY,2227,1 Congregate Care,1
2020-11-05,CHATHAM-KENT,2240,5 Recreational,1
2020-11-05,CHATHAM-KENT,2240,2 Congregate Living,1
2020-11-05,CHATHAM-KENT,2240,4 Workplace,1
2020-11-05,CITY OF HAMILTON,2237,4 Workplace,3
2020-11-05,CITY OF HAMILTON,2237,6 Other/Unknown,2
2020-11-05,CITY OF HAMILTON,2237,1 Congregate Care,6
2020-11-05,CITY OF HAMILTON,2237,3 Education,2
2020-11-05,CITY OF HAMILTON,2237,2 Congregate Living,1
2020-11-05,CITY OF HAMILTON,2237,5 Recreational,1
2020-11-05,CITY OF OTTAWA,2251,2 Congregate Living,6
2020-11-05,CITY OF OTTAWA,2251,3 Education,7
2020-11-05,CITY OF OTTAWA,2251,4 Workplace,3
2020-11-05,CITY OF OTTAWA,2251,1 Congregate Care,28
2020-11-05,DURHAM REGION,2230,1 Congregate Care,4
2020-11-05,DURHAM REGION,2230,3 Education,1
2020-11-05,DURHAM REGION,2230,4 Workplace,2
2020-11-05,DURHAM REGION,2230,2 Congregate Living,2
2020-11-05,DURHAM REGION,2230,5 Recreational,1
2020-11-05,EASTERN ONTARIO,2258,1 Congregate Care,4
2020-11-05,EASTERN ONTARIO,2258,3 Education,4
2020-11-05,GREY BRUCE,2233,1 Congregate Care,1
2020-11-05,HALDIMAND-NORFOLK,2234,1 Congregate Care,1
2020-11-05,HALDIMAND-NORFOLK,2234,4 Workplace,1
2020-11-05,HALDIMAND-NORFOLK,2234,6 Other/Unknown,2
2020-11-05,"HALIBURTON, KAWARTHA, PINE RIDGE",2235,1 Congregate Care,1
2020-11-05,HALTON REGION,2236,1 Congregate Care,7
2020-11-05,HALTON REGION,2236,2 Congregate Living,3
2020-11-05,HALTON REGION,2236,3 Education,1
2020-11-05,HALTON REGION,2236,4 Workplace,1
2020-11-05,HALTON REGION,2236,5 Recreational,2
2020-11-05,HASTINGS & PRINCE EDWARD COUNTIES,2238,4 Workplace,1
2020-11-05,HURON PERTH,5183,4 Workplace,1
2020-11-05,HURON PERTH,5183,1 Congregate Care,2
2020-11-05,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,3 Education,1
2020-11-05,"KINGSTON, FRONTENAC, LENNOX & ADDINGTON",2241,1 Congregate Care,1
2020-11-05,LAMBTON COUNTY,2242,4 Workplace,1
2020-11-05,LAMBTON COUNTY,2242,1 Congregate Care,1
2020-11-05,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,4 Workplace,1
2020-11-05,"LEEDS, GRENVILLE AND LANARK DISTRICT",2243,1 Congregate Care,2
2020-11-05,MIDDLESEX-LONDON,2244,5 Recreational,4
2020-11-05,MIDDLESEX-LONDON,2244,4 Workplace,1
2020-11-05,MIDDLESEX-LONDON,2244,3 Education,1
2020-11-05,MIDDLESEX-LONDON,2244,2 Congregate Living,1
2020-11-05,MIDDLESEX-LONDON,2244,1 Congregate Care,9
2020-11-05,NIAGARA REGION,2246,6 Other/Unknown,3
2020-11-05,NIAGARA REGION,2246,5 Recreational,1
2020-11-05,NIAGARA REGION,2246,4 Workplace,3
2020-11-05,NIAGARA REGION,2246,3 Education,2
2020-11-05,NIAGARA REGION,2246,1 Congregate Care,4
