Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Papua New Guinea,Western Pacific,5620,62.81,1862,20.81,271,56,0.63,19,0.21,7,Community transmission
Gambia,Africa,5420,224.28,165,6.83,0,164,6.79,3,0.12,0,Community transmission
Nicaragua,Americas,5288,79.82,37,0.56,0,177,2.67,1,0.02,0,Community transmission
Central African Republic,Africa,5161,106.86,74,1.53,74,67,1.39,3,0.06,3,Community transmission
Niger,Africa,5001,20.66,83,0.34,14,186,0.77,1,0,1,Community transmission
San Marino,Europe,4679,13786.91,291,857.45,48,84,247.51,5,14.73,0,Community transmission
Chad,Africa,4510,27.46,83,0.51,4,164,1,7,0.04,3,Community transmission
Gibraltar,Europe,4273,12682.91,3,8.9,0,94,279.01,0,0,0,Clusters of cases
Saint Lucia,Americas,4202,2288.33,70,38.12,11,58,31.59,3,1.63,0,Community transmission
Yemen,Eastern Mediterranean,4119,13.81,599,2.01,82,864,2.9,92,0.31,12,Community transmission
Seychelles,Africa,4114,4183.15,316,321.31,30,20,20.34,4,4.07,0,Community transmission
Sierra Leone,Africa,3970,49.77,22,0.28,0,79,0.99,0,0,0,Community transmission
Comoros,Africa,3690,424.33,24,2.76,0,146,16.79,0,0,0,Community transmission
Guinea-Bissau,Africa,3635,184.71,67,3.4,0,61,3.1,6,0.3,0,Community transmission
Barbados,Americas,3629,1262.81,78,27.14,20,41,14.27,2,0.7,0,Community transmission
Eritrea,Africa,3251,91.67,133,3.75,43,9,0.25,2,0.06,0,Community transmission
Jersey,Europe,3225,2964.15,1,0.92,0,69,63.42,0,0,0,Community transmission
United States Virgin Islands,Americas,2907,2783.82,83,79.48,0,26,24.9,1,0.96,0,Community transmission
Burundi,Africa,2757,23.19,129,1.08,0,6,0.05,0,0,0,Community transmission
Liechtenstein,Europe,2747,7202.98,30,78.66,0,54,141.59,0,0,0,Sporadic cases
Viet Nam,Western Pacific,2594,2.66,19,0.02,3,35,0.04,0,0,0,Clusters of cases
Cambodia,Western Pacific,2378,14.22,590,3.53,105,11,0.07,7,0.04,0,Sporadic cases
Turks and Caicos Islands,Americas,2327,6010.12,33,85.23,1,17,43.91,1,2.58,0,Clusters of cases
Monaco,Europe,2265,5771.58,83,211.5,6,28,71.35,1,2.55,0,Sporadic cases
Sao Tome and Principe,Africa,2215,1010.68,58,26.46,3,34,15.51,0,0,0,Community transmission
New Zealand,Western Pacific,2139,44.36,28,0.58,2,26,0.54,0,0,0,Clusters of cases
Sint Maarten,Americas,2130,4967.12,29,67.63,12,27,62.96,0,0,0,Community transmission
Liberia,Africa,2053,40.59,11,0.22,0,85,1.68,0,0,0,Community transmission
Saint Vincent and the Grenadines,Americas,1739,1567.51,39,35.15,1,10,9.01,0,0,0,Community transmission
Saint Martin,Americas,1657,4286.19,24,62.08,0,12,31.04,0,0,0,Community transmission
Isle of Man,Europe,1558,1832.25,72,84.67,3,29,34.1,3,3.53,3,No cases
Bonaire,Americas,1299,6210.85,254,1214.44,78,10,47.81,2,9.56,0,Community transmission
Antigua and Barbuda,Americas,1136,1160.02,103,105.18,8,28,28.59,0,0,0,Clusters of cases
Bermuda,Americas,1028,1650.8,239,383.79,0,12,19.27,0,0,0,Sporadic cases
Mauritius,Africa,963,75.72,151,11.87,30,10,0.79,0,0,0,Clusters of cases
Bhutan,South-East Asia,872,113.01,3,0.39,0,1,0.13,0,0,0,Sporadic cases
Saint Barthélemy,Americas,857,8669.7,81,819.42,0,1,10.12,0,0,0,Clusters of cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Faroe Islands,Europe,661,1352.71,0,0,0,1,2.05,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,512,38.83,177,13.42,21,0,0,0,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,487,741.02,12,18.26,0,2,3.04,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,394,3503.47,67,595.77,11,4,35.57,3,26.68,0,Sporadic cases
Brunei Darussalam,Western Pacific,207,47.32,1,0.23,0,3,0.69,0,0,0,Clusters of cases
Dominica,Americas,161,223.64,4,5.56,0,0,0,0,0,0,Clusters of cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,159,276.25,1,1.74,0,2,3.47,0,0,0,Pending
Grenada,Americas,155,137.75,1,0.89,0,1,0.89,0,0,0,Sporadic cases
British Virgin Islands,Americas,154,509.31,0,0,0,1,3.31,0,0,0,Clusters of cases
New Caledonia,Western Pacific,121,42.38,5,1.75,0,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,67,7.47,0,0,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,49,0.67,0,0,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,44,82.72,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Anguilla,Americas,25,166.64,3,20,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,19,2.77,1,0.15,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
