city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Cernier,47.0574,6.8948,Switzerland,CH,Neuchâtel,minor,,
Altstätten,47.3764,9.5550,Switzerland,CH,Sankt Gallen,minor,,
Langnau,46.9394,7.7874,Switzerland,CH,Bern,minor,,
Gersau,46.9942,8.5250,Switzerland,CH,Schwyz,minor,,
Schüpfheim,46.9516,8.0172,Switzerland,CH,Luzern,minor,,
Haslen,47.3693,9.3675,Switzerland,CH,Appenzell Innerrhoden,minor,,
Courtelary,47.1794,7.0730,Switzerland,CH,Bern,minor,,
Mörel-Filet,46.3555,8.0441,Switzerland,CH,Valais,minor,,
Münster-Geschinen,46.4917,8.2721,Switzerland,CH,Valais,minor,,
Tiefencastel,46.6601,9.5788,Switzerland,CH,Graubünden,minor,,
