Name;Organisation;Country;Pays;URL;Description;Location;Latitude;Longitude;Code En;Code Fr;Country Slug;Column 1;Column 9;Thematic;Portal typology;Column 14;Column 15;Column 16;Column 17;Code Es
;;;;;;;;;;;;;;;Colombia - Air Quality;;;;;
;;;;;;;;;;;;;;;Brazil - Air Quality;;;;;
;;;;;;;;;;;;;;;Taiwan - Air Quality;;;;;
;;;;;;;;;;;;;;;Australia - Air Quality;;;;;
;;;;;;;;;;;;;;;Austria - Company Register;;;;;
;;;;;;;;;;;;;;;Uruguay - Company Register;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Draft Legislation;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Russian Federation - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Tunisia - Election Results;;;;;
;;;;;;;;;;;;;;;Italy - Election Results;;;;;
;;;;;;;;;;;;;;;Russian Federation - Government Budget;;;;;
;;;;;;;;;;;;;;;Lesotho - Government Budget;;;;;
;;;;;;;;;;;;;;;Greece - Government Budget;;;;;
;;;;;;;;;;;;;;;Austria - Government Budget;;;;;
;;;;;;;;;;;;;;;Japan - Government Budget;;;;;
;;;;;;;;;;;;;;;Brazil - Government Spending;;;;;
;;;;;;;;;;;;;;;Paraguay - Government Spending;;;;;
;;;;;;;;;;;;;;;Italy - Land Ownership;;;;;
;;;;;;;;;;;;;;;Russian Federation - National Laws;;;;;
;;;;;;;;;;;;;;;Tunisia - National Laws;;;;;
;;;;;;;;;;;;;;;Turkey - National Laws;;;;;
;;;;;;;;;;;;;;;Slovenia - National Laws;;;;;
;;;;;;;;;;;;;;;Denmark - National Laws;;;;;
;;;;;;;;;;;;;;;Montenegro - National Maps;;;;;
;;;;;;;;;;;;;;;Austria - National Maps;;;;;
;;;;;;;;;;;;;;;Malaysia - National Statistics;;;;;
;;;;;;;;;;;;;;;Germany - National Statistics;;;;;
;;;;;;;;;;;;;;;Colombia - National Statistics;;;;;
;;;;;;;;;;;;;;;Namibia - National Statistics;;;;;
;;;;;;;;;;;;;;;Australia - National Statistics;;;;;
;;;;;;;;;;;;;;;Bahamas - National Statistics;;;;;
;;;;;;;;;;;;;;;Zambia - National Statistics;;;;;
;;;;;;;;;;;;;;;Bahamas - Procurement;;;;;
;;;;;;;;;;;;;;;Cameroon - Procurement;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - Procurement;;;;;
;;;;;;;;;;;;;;;France - Procurement;;;;;
;;;;;;;;;;;;;;;United Republic of Tanzania - Procurement;;;;;
;;;;;;;;;;;;;;;Finland - Water Quality;;;;;
;;;;;;;;;;;;;;;Latvia - Water Quality;;;;;
;;;;;;;;;;;;;;;Singapore - Weather Forecast;;;;;
;;;;;;;;;;;;;;;United States of America - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - Opendata Caux Vallée de Seine;;;;;
;;;;;;;;;;;;;;;France - Opendata Saint Quentin;;;;;
;;;;;;;;;;;;;;;France - GéoCentre*;;;;;
;;;;;;;;;;;;;;;France - Opendata 49 Maine et Loire;;;;;
;;;;;;;;;;;;;;;France - Opendata Meurthe et Moselle;;;;;
;;;;;;;;;;;;;;;France - Data Cœur Côte Fleurie;;;;;
;;;;;;;;;;;;;;;Bhutan - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Ukraine - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;New Zealand - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Greece - Air Quality;;;;;
;;;;;;;;;;;;;;;Iran - Air Quality;;;;;
;;;;;;;;;;;;;;;Austria - Company Register;;;;;
;;;;;;;;;;;;;;;United States of America - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Thailand - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Bulgaria - Election Results;;;;;
;;;;;;;;;;;;;;;Denmark - Election Results;;;;;
;;;;;;;;;;;;;;;Denmark - Election Results;;;;;
;;;;;;;;;;;;;;;Thailand - Government Budget;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - Government Budget;;;;;
;;;;;;;;;;;;;;;Paraguay - Government Budget;;;;;
;;;;;;;;;;;;;;;Montenegro - Government Budget;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Government Budget;;;;;
;;;;;;;;;;;;;;;Mozambique - Government Budget;;;;;
;;;;;;;;;;;;;;;Mozambique - Government Budget;;;;;
;;;;;;;;;;;;;;;El Salvador - Government Budget;;;;;
;;;;;;;;;;;;;;;Botswana - Government Budget;;;;;
;;;;;;;;;;;;;;;Brazil - Government Spending;;;;;
;;;;;;;;;;;;;;;Slovenia - National Laws;;;;;
;;;;;;;;;;;;;;;Norway - National Laws;;;;;
;;;;;;;;;;;;;;;Bolivia - National Maps;;;;;
;;;;;;;;;;;;;;;Czechia - National Maps;;;;;
;;;;;;;;;;;;;;;Philippines - National Maps;;;;;
;;;;;;;;;;;;;;;Brazil - National Statistics;;;;;
;;;;;;;;;;;;;;;Austria - National Statistics;;;;;
;;;;;;;;;;;;;;;El Salvador - National Statistics;;;;;
;;;;;;;;;;;;;;;Paraguay - National Statistics;;;;;
;;;;;;;;;;;;;;;Venezuela - National Statistics;;;;;
;;;;;;;;;;;;;;;Peru - National Statistics;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - National Statistics;;;;;
;;;;;;;;;;;;;;;Switzerland - National Statistics;;;;;
;;;;;;;;;;;;;;;Oman - National Statistics;;;;;
;;;;;;;;;;;;;;;Belgium - National Statistics;;;;;
;;;;;;;;;;;;;;;Panama - National Statistics;;;;;
;;;;;;;;;;;;;;;Panama - National Statistics;;;;;
;;;;;;;;;;;;;;;Albania - National Statistics;;;;;
;;;;;;;;;;;;;;;Bangladesh - National Statistics;;;;;
;;;;;;;;;;;;;;;Portugal - National Statistics;;;;;
;;;;;;;;;;;;;;;Namibia - National Statistics;;;;;
;;;;;;;;;;;;;;;Botswana - Procurement;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Procurement;;;;;
;;;;;;;;;;;;;;;Philippines - Procurement;;;;;
;;;;;;;;;;;;;;;Czechia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Israel - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Austria - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Portugal - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Poland - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Chile - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - Opendata Auvergne Rhône Alpes;;;;;
;;;;;;;;;;;;;;;France - CRAIG;;;;;
;;;;;;;;;;;;;;;France - Atmo Occitanie Open Data*;;;;;
;;;;;;;;;;;;;;;France - OPenIG*;;;;;
;;;;;;;;;;;;;;;France - GEOPAL;;;;;
;;;;;;;;;;;;;;;France - Opendata Puy de Dôme;;;;;
;;;;;;;;;;;;;;;Guatemala - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Germany - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Czechia - Air Quality;;;;;
;;;;;;;;;;;;;;;El Salvador - Air Quality;;;;;
;;;;;;;;;;;;;;;Colombia - Air Quality;;;;;
;;;;;;;;;;;;;;;Taiwan - Air Quality;;;;;
;;;;;;;;;;;;;;;Italy - Company Register;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Company Register;;;;;
;;;;;;;;;;;;;;;Philippines - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Japan - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Turkey - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Norway - Draft Legislation;;;;;
;;;;;;;;;;;;;;;China, Hong Kong Special Administrative Region - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Canada - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Kenya - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Brazil - Draft Legislation;;;;;
;;;;;;;;;;;;;;;China, Hong Kong Special Administrative Region - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Germany - Draft Legislation;;;;;
;;;;;;;;;;;;;;;France - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Uruguay - Election Results;;;;;
;;;;;;;;;;;;;;;Brazil - Election Results;;;;;
;;;;;;;;;;;;;;;Poland - Government Budget;;;;;
;;;;;;;;;;;;;;;Saint Lucia - Government Budget;;;;;
;;;;;;;;;;;;;;;Trinidad and Tobago - Government Budget;;;;;
;;;;;;;;;;;;;;;Bhutan - Government Budget;;;;;
;;;;;;;;;;;;;;;Iran - Government Budget;;;;;
;;;;;;;;;;;;;;;Trinidad and Tobago - Government Budget;;;;;
;;;;;;;;;;;;;;;Singapore - Government Budget;;;;;
;;;;;;;;;;;;;;;United States of America - Government Spending;;;;;
;;;;;;;;;;;;;;;Philippines - Government Spending;;;;;
;;;;;;;;;;;;;;;Latvia - Land Ownership;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Land Ownership;;;;;
;;;;;;;;;;;;;;;Romania - National Laws;;;;;
;;;;;;;;;;;;;;;Canada - National Laws;;;;;
;;;;;;;;;;;;;;;Romania - National Laws;;;;;
;;;;;;;;;;;;;;;France - National Laws;;;;;
;;;;;;;;;;;;;;;United States of America - National Statistics;;;;;
;;;;;;;;;;;;;;;New Zealand - National Statistics;;;;;
;;;;;;;;;;;;;;;South Africa - National Statistics;;;;;
;;;;;;;;;;;;;;;Brazil - National Statistics;;;;;
;;;;;;;;;;;;;;;Uruguay - National Statistics;;;;;
;;;;;;;;;;;;;;;Switzerland - National Statistics;;;;;
;;;;;;;;;;;;;;;Slovenia - National Statistics;;;;;
;;;;;;;;;;;;;;;Slovakia - National Statistics;;;;;
;;;;;;;;;;;;;;;Austria - National Statistics;;;;;
;;;;;;;;;;;;;;;Botswana - National Statistics;;;;;
;;;;;;;;;;;;;;;Australia - National Statistics;;;;;
;;;;;;;;;;;;;;;South Africa - Procurement;;;;;
;;;;;;;;;;;;;;;Thailand - Procurement;;;;;
;;;;;;;;;;;;;;;United States of America - Water Quality;;;;;
;;;;;;;;;;;;;;;France - Water Quality;;;;;
;;;;;;;;;;;;;;;Australia - Water Quality;;;;;
;;;;;;;;;;;;;;;Taiwan - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Finland - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Serbia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Panama - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Austria - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - Opendata Antibes Juan les Pins;;;;;
;;;;;;;;;;;;;;;Bhutan - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Canada - Air Quality;;;;;
;;;;;;;;;;;;;;;Netherlands - Air Quality;;;;;
;;;;;;;;;;;;;;;Denmark - Air Quality;;;;;
;;;;;;;;;;;;;;;Singapore - Air Quality;;;;;
;;;;;;;;;;;;;;;Saint Vincent and The Grenadines - Air Quality;;;;;
;;;;;;;;;;;;;;;Indonesia - Air Quality;;;;;
;;;;;;;;;;;;;;;Czechia - Air Quality;;;;;
;;;;;;;;;;;;;;;Serbia - Company Register;;;;;
;;;;;;;;;;;;;;;Thailand - Company Register;;;;;
;;;;;;;;;;;;;;;Australia - Company Register;;;;;
;;;;;;;;;;;;;;;Germany - Company Register;;;;;
;;;;;;;;;;;;;;;Germany - Company Register;;;;;
;;;;;;;;;;;;;;;Brazil - Company Register;;;;;
;;;;;;;;;;;;;;;Thailand - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Croatia - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Denmark - Government Budget;;;;;
;;;;;;;;;;;;;;;Ghana - Government Budget;;;;;
;;;;;;;;;;;;;;;Oman - Government Budget;;;;;
;;;;;;;;;;;;;;;Barbados - Land Ownership;;;;;
;;;;;;;;;;;;;;;Denmark - Locations / Zip Codes;;;;;
;;;;;;;;;;;;;;;Guyana - National Laws;;;;;
;;;;;;;;;;;;;;;Zambia - National Laws;;;;;
;;;;;;;;;;;;;;;Philippines - National Maps;;;;;
;;;;;;;;;;;;;;;Oman - National Maps;;;;;
;;;;;;;;;;;;;;;Malaysia - National Statistics;;;;;
;;;;;;;;;;;;;;;Puerto Rico - National Statistics;;;;;
;;;;;;;;;;;;;;;Pakistan - National Statistics;;;;;
;;;;;;;;;;;;;;;China, Hong Kong Special Administrative Region - National Statistics;;;;;
;;;;;;;;;;;;;;;Panama - National Statistics;;;;;
;;;;;;;;;;;;;;;Ukraine - National Statistics;;;;;
;;;;;;;;;;;;;;;Paraguay - National Statistics;;;;;
;;;;;;;;;;;;;;;Israel - National Statistics;;;;;
;;;;;;;;;;;;;;;Montenegro - National Statistics;;;;;
;;;;;;;;;;;;;;;Zimbabwe - National Statistics;;;;;
;;;;;;;;;;;;;;;Ghana - Procurement;;;;;
;;;;;;;;;;;;;;;Uruguay - Procurement;;;;;
;;;;;;;;;;;;;;;Germany - Procurement;;;;;
;;;;;;;;;;;;;;;Japan - Procurement;;;;;
;;;;;;;;;;;;;;;Brazil - Water Quality;;;;;
;;;;;;;;;;;;;;;Denmark - Water Quality;;;;;
;;;;;;;;;;;;;;;Ukraine - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Bolivia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Argentina - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Serbia - Air Quality;;;;;
;;;;;;;;;;;;;;;Norway - Air Quality;;;;;
;;;;;;;;;;;;;;;Belgium - Air Quality;;;;;
;;;;;;;;;;;;;;;Colombia - Air Quality;;;;;
;;;;;;;;;;;;;;;Denmark - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Czechia - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Czechia - Election Results;;;;;
;;;;;;;;;;;;;;;Canada - Government Budget;;;;;
;;;;;;;;;;;;;;;Poland - Government Budget;;;;;
;;;;;;;;;;;;;;;Panama - Government Budget;;;;;
;;;;;;;;;;;;;;;Ukraine - Government Budget;;;;;
;;;;;;;;;;;;;;;Bulgaria - Government Budget;;;;;
;;;;;;;;;;;;;;;Namibia - Government Budget;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Government Spending;;;;;
;;;;;;;;;;;;;;;Bulgaria - Land Ownership;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Locations / Zip Codes;;;;;
;;;;;;;;;;;;;;;New Zealand - Locations / Zip Codes;;;;;
;;;;;;;;;;;;;;;Japan - National Laws;;;;;
;;;;;;;;;;;;;;;Latvia - National Laws;;;;;
;;;;;;;;;;;;;;;Albania - National Laws;;;;;
;;;;;;;;;;;;;;;Costa Rica - National Maps;;;;;
;;;;;;;;;;;;;;;Iran - National Statistics;;;;;
;;;;;;;;;;;;;;;Puerto Rico - National Statistics;;;;;
;;;;;;;;;;;;;;;Guatemala - National Statistics;;;;;
;;;;;;;;;;;;;;;China, Hong Kong Special Administrative Region - National Statistics;;;;;
;;;;;;;;;;;;;;;Turkey - National Statistics;;;;;
;;;;;;;;;;;;;;;Sweden - National Statistics;;;;;
;;;;;;;;;;;;;;;Netherlands - National Statistics;;;;;
;;;;;;;;;;;;;;;India - National Statistics;;;;;
;;;;;;;;;;;;;;;Bhutan - National Statistics;;;;;
;;;;;;;;;;;;;;;China, Hong Kong Special Administrative Region - National Statistics;;;;;
;;;;;;;;;;;;;;;Cambodia - National Statistics;;;;;
;;;;;;;;;;;;;;;Costa Rica - National Statistics;;;;;
;;;;;;;;;;;;;;;Montenegro - Procurement;;;;;
;;;;;;;;;;;;;;;Bangladesh - Procurement;;;;;
;;;;;;;;;;;;;;;China, Hong Kong Special Administrative Region - Water Quality;;;;;
;;;;;;;;;;;;;;;France - Water Quality;;;;;
;;;;;;;;;;;;;;;Netherlands - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Israel - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Serbia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;New Zealand - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Russian Federation - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Bosnia and Herzegovina - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - Atmo Bfc Open Data*;;;;;
;;;;;;;;;;;;;;;France - GéoGuyane;;;;;
;;;;;;;;;;;;;;;France - Sig Loire*;;;;;
;;;;;;;;;;;;;;;France - Opendata Loiret;;;;;
;;;;;;;;;;;;;;;France - Data IAU*;;;;;
;;;;;;;;;;;;;;;France - GéoNormandie;;;;;
;;;;;;;;;;;;;;;France - Géo Loiret;;;;;
;;;;;;;;;;;;;;;Singapore - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Uruguay - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - Air Quality;;;;;
;;;;;;;;;;;;;;;Germany - Air Quality;;;;;
;;;;;;;;;;;;;;;Switzerland - Air Quality;;;;;
;;;;;;;;;;;;;;;United States of America - Air Quality;;;;;
;;;;;;;;;;;;;;;Uruguay - Air Quality;;;;;
;;;;;;;;;;;;;;;Finland - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Norway - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Mexico - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Australia - Government Budget;;;;;
;;;;;;;;;;;;;;;New Zealand - Government Budget;;;;;
;;;;;;;;;;;;;;;Uruguay - Government Budget;;;;;
;;;;;;;;;;;;;;;Japan - Government Spending;;;;;
;;;;;;;;;;;;;;;Montenegro - Government Spending;;;;;
;;;;;;;;;;;;;;;Nepal - Land Ownership;;;;;
;;;;;;;;;;;;;;;India - National Laws;;;;;
;;;;;;;;;;;;;;;Belgium - National Laws;;;;;
;;;;;;;;;;;;;;;Kenya - National Laws;;;;;
;;;;;;;;;;;;;;;China, Hong Kong Special Administrative Region - National Laws;;;;;
;;;;;;;;;;;;;;;Uruguay - National Laws;;;;;
;;;;;;;;;;;;;;;Chile - National Laws;;;;;
;;;;;;;;;;;;;;;Brazil - National Laws;;;;;
;;;;;;;;;;;;;;;Ghana - National Laws;;;;;
;;;;;;;;;;;;;;;Albania - National Laws;;;;;
;;;;;;;;;;;;;;;Bangladesh - National Maps;;;;;
;;;;;;;;;;;;;;;Romania - National Maps;;;;;
;;;;;;;;;;;;;;;Israel - National Statistics;;;;;
;;;;;;;;;;;;;;;Paraguay - National Statistics;;;;;
;;;;;;;;;;;;;;;Tunisia - National Statistics;;;;;
;;;;;;;;;;;;;;;Israel - National Statistics;;;;;
;;;;;;;;;;;;;;;Sweden - National Statistics;;;;;
;;;;;;;;;;;;;;;Philippines - National Statistics;;;;;
;;;;;;;;;;;;;;;France - National Statistics;;;;;
;;;;;;;;;;;;;;;Poland - National Statistics;;;;;
;;;;;;;;;;;;;;;El Salvador - Procurement;;;;;
;;;;;;;;;;;;;;;Sweden - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Montenegro - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Greece - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Switzerland - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Denmark - Air Quality;;;;;
;;;;;;;;;;;;;;;Portugal - Air Quality;;;;;
;;;;;;;;;;;;;;;Lesotho - Company Register;;;;;
;;;;;;;;;;;;;;;India - Company Register;;;;;
;;;;;;;;;;;;;;;Australia - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Chile - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Slovenia - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Finland - Election Results;;;;;
;;;;;;;;;;;;;;;Latvia - Election Results;;;;;
;;;;;;;;;;;;;;;El Salvador - Government Budget;;;;;
;;;;;;;;;;;;;;;Colombia - Government Budget;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Government Budget;;;;;
;;;;;;;;;;;;;;;Republic of North Macedonia - Government Budget;;;;;
;;;;;;;;;;;;;;;Saint Kitts and Nevis - Government Budget;;;;;
;;;;;;;;;;;;;;;Indonesia - Government Budget;;;;;
;;;;;;;;;;;;;;;Czechia - Government Budget;;;;;
;;;;;;;;;;;;;;;Slovakia - Government Spending;;;;;
;;;;;;;;;;;;;;;Russian Federation - Land Ownership;;;;;
;;;;;;;;;;;;;;;France - Locations / Zip Codes;;;;;
;;;;;;;;;;;;;;;Canada - Locations / Zip Codes;;;;;
;;;;;;;;;;;;;;;Greece - National Laws;;;;;
;;;;;;;;;;;;;;;Pakistan - National Laws;;;;;
;;;;;;;;;;;;;;;Turkey - National Laws;;;;;
;;;;;;;;;;;;;;;India - National Maps;;;;;
;;;;;;;;;;;;;;;Colombia - National Statistics;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - National Statistics;;;;;
;;;;;;;;;;;;;;;New Zealand - National Statistics;;;;;
;;;;;;;;;;;;;;;Puerto Rico - National Statistics;;;;;
;;;;;;;;;;;;;;;Colombia - National Statistics;;;;;
;;;;;;;;;;;;;;;Tunisia - National Statistics;;;;;
;;;;;;;;;;;;;;;Bulgaria - National Statistics;;;;;
;;;;;;;;;;;;;;;Dominican Republic - National Statistics;;;;;
;;;;;;;;;;;;;;;Bhutan - National Statistics;;;;;
;;;;;;;;;;;;;;;Finland - National Statistics;;;;;
;;;;;;;;;;;;;;;New Zealand - National Statistics;;;;;
;;;;;;;;;;;;;;;Malawi - National Statistics;;;;;
;;;;;;;;;;;;;;;Bahamas - National Statistics;;;;;
;;;;;;;;;;;;;;;Trinidad and Tobago - National Statistics;;;;;
;;;;;;;;;;;;;;;Greece - National Statistics;;;;;
;;;;;;;;;;;;;;;Zambia - National Statistics;;;;;
;;;;;;;;;;;;;;;Lesotho - National Statistics;;;;;
;;;;;;;;;;;;;;;Finland - Procurement;;;;;
;;;;;;;;;;;;;;;Latvia - Procurement;;;;;
;;;;;;;;;;;;;;;France - Procurement;;;;;
;;;;;;;;;;;;;;;United Kingdom of Great Britain and Northern Ireland - Procurement;;;;;
;;;;;;;;;;;;;;;United States of America - Procurement;;;;;
;;;;;;;;;;;;;;;United States of America - Procurement;;;;;
;;;;;;;;;;;;;;;New Zealand - Water Quality;;;;;
;;;;;;;;;;;;;;;Norway - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Saint Lucia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Austria - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Poland - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Slovenia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Slovakia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - Opendata CA Ajaccien;;;;;
;;;;;;;;;;;;;;;France - GéoGrandEst;;;;;
;;;;;;;;;;;;;;;France - Opendata APUR*;;;;;
;;;;;;;;;;;;;;;France - Atmo Normandie Open Data*;;;;;
;;;;;;;;;;;;;;;Portugal - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;South Africa - Air Quality;;;;;
;;;;;;;;;;;;;;;Guatemala - Air Quality;;;;;
;;;;;;;;;;;;;;;India - Air Quality;;;;;
;;;;;;;;;;;;;;;Australia - Air Quality;;;;;
;;;;;;;;;;;;;;;Slovenia - Air Quality;;;;;
;;;;;;;;;;;;;;;Israel - Air Quality;;;;;
;;;;;;;;;;;;;;;India - Air Quality;;;;;
;;;;;;;;;;;;;;;Singapore - Company Register;;;;;
;;;;;;;;;;;;;;;Finland - Company Register;;;;;
;;;;;;;;;;;;;;;Croatia - Company Register;;;;;
;;;;;;;;;;;;;;;Japan - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Poland - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Poland - Election Results;;;;;
;;;;;;;;;;;;;;;Norway - Election Results;;;;;
;;;;;;;;;;;;;;;Latvia - Government Budget;;;;;
;;;;;;;;;;;;;;;Russian Federation - Government Budget;;;;;
;;;;;;;;;;;;;;;Cameroon - Government Budget;;;;;
;;;;;;;;;;;;;;;Guyana - Government Budget;;;;;
;;;;;;;;;;;;;;;Portugal - Government Spending;;;;;
;;;;;;;;;;;;;;;Australia - Locations / Zip Codes;;;;;
;;;;;;;;;;;;;;;New Zealand - Locations / Zip Codes;;;;;
;;;;;;;;;;;;;;;Bhutan - National Laws;;;;;
;;;;;;;;;;;;;;;Ukraine - National Laws;;;;;
;;;;;;;;;;;;;;;Austria - National Maps;;;;;
;;;;;;;;;;;;;;;Chile - National Maps;;;;;
;;;;;;;;;;;;;;;Russian Federation - National Maps;;;;;
;;;;;;;;;;;;;;;Romania - National Statistics;;;;;
;;;;;;;;;;;;;;;Malaysia - National Statistics;;;;;
;;;;;;;;;;;;;;;Denmark - National Statistics;;;;;
;;;;;;;;;;;;;;;Taiwan - National Statistics;;;;;
;;;;;;;;;;;;;;;France - National Statistics;;;;;
;;;;;;;;;;;;;;;Czechia - National Statistics;;;;;
;;;;;;;;;;;;;;;Argentina - Procurement;;;;;
;;;;;;;;;;;;;;;Jamaica - Procurement;;;;;
;;;;;;;;;;;;;;;Netherlands - Procurement;;;;;
;;;;;;;;;;;;;;;Trinidad and Tobago - Procurement;;;;;
;;;;;;;;;;;;;;;United States of America - Water Quality;;;;;
;;;;;;;;;;;;;;;Czechia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Canada - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Czechia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Philippines - Weather Forecast;;;;;
;;;;;;;;;;;;;;;Australia - Weather Forecast;;;;;
;;;;;;;;;;;;;;;France - KaruGéo;;;;;
;;;;;;;;;;;;;;;France - Madininair Open Data*;;;;;
;;;;;;;;;;;;;;;France - Opendata Castelnaudary;;;;;
;;;;;;;;;;;;;;;France - Géo Rennes Métropole;;;;;
;;;;;;;;;;;;;;;Paraguay - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Belgium - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Australia - Administrative Boundaries;;;;;
;;;;;;;;;;;;;;;Australia - Air Quality;;;;;
;;;;;;;;;;;;;;;Sweden - Company Register;;;;;
;;;;;;;;;;;;;;;France - Company Register;;;;;
;;;;;;;;;;;;;;;Kenya - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Thailand - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Austria - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Czechia - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Bhutan - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Pakistan - Draft Legislation;;;;;
;;;;;;;;;;;;;;;United States of America - Draft Legislation;;;;;
;;;;;;;;;;;;;;;Switzerland - Election Results;;;;;
;;;;;;;;;;;;;;;Taiwan - Election Results;;;;;
;;;;;;;;;;;;;;;Uruguay - Election Results;;;;;
;;;;;;;;;;;;;;;Saint Kitts and Nevis - Government Budget;;;;;
;;;;;;;;;;;;;;;Bahamas - Government Budget;;;;;
;;;;;;;;;;;;;;;Brazil - Government Budget;;;;;
;;;;;;;;;;;;;;;Iran - Government Budget;;;;;
;;;;;;;;;;;;;;;Brazil - Government Budget;;;;;
;;;;;;;;;;;;;;;Canada - Government Budget;;;;;
;;;;;;;;;;;;;;;Bosnia and Herzegovina - Government Budget;;;;;
;;;;;;;;;;;;;;;Slovakia - Government Spending;;;;;
;;;;;;;;;;;;;;;Turkey - Land Ownership;;;;;
;;;;;;;;;;;;;;;Slovakia - Locations / Zip Codes;;;;;
