Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
LPG,Petro-Canada,122 boul Notre-Dame,,Pont Rouge,QC,G3H 3K7,,418-873-2060,E,,Public,6am-11pm daily,Cash D Debit M V,,,,,,,,,,200-9,46.761739,-71.708283,2019-04-09,82864,2020-12-03 20:56:05 UTC,P,,,2018-01-17,,,false,,,CA,,6:00-23:00 tous les jours,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,
LPG,Battleford Esso,500 5th Ave W,,Battleford,SK,S0M 0E0,,306-937-2334,E,,Public,7am-8pm daily,A Cash Debit M V,,,,,,,,,,200-9,52.74247,-108.31853,2018-05-07,82874,2020-12-11 19:46:52 UTC,P,,,2015-04-16,,,true,,,CA,,7:00-20:00 tous les jours,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,
LPG,Lake Country Co-op Gas Bar - Shellbrook,Saskatchewan 55,,Shellbrook,SK,V2N 5T8,,306-747-2777,E,,Public,"6am-11pm M-Sat, 7am-11pm Sun",A ARI Cash Comdata Debit M PHH Proprietor TCH V,,,,,,,,,,GPS,53.227191,-106.3883071,2020-07-13,82875,2020-07-13 20:37:05 UTC,P,,,2018-02-01,,,true,,,CA,,"6:00-23:00 LUN-SAM, 7:00-23:00 DIM",,Public,,public,,,GAS_STATION,,,,,,,,,"[""ACME""]",,,,,,,
ELEC,Old Stone Inn Boutique Hotel,6080 Fallsview Blvd,,Niagara Falls,ON,L2G 7L6,,800-263-6208,E,,Public,24 hours daily; for guest use only; see front desk for access,,,,,,1,,,Non-Networked,,200-8,43.086763,-79.083133,2020-01-30,82899,2020-04-14 22:13:47 UTC,P,,,2015-12-15,,,,,J1772,CA,,Accessible 24 heures par jour; Å l'usage des clients seulement; rendez-vous Ã  la rÃ©ception pour avoir accÃ¨s,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Whistler Conference Centre,4010 Whistler Way,,Whistler,BC,V0N 1B4,,604-932-5535  855-900-7584,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,50.11536175,-122.9581542,2019-11-08,82900,2021-02-03 00:04:16 UTC,P,,,2015-05-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Albert at the Bay,435 Albert St,,Ottawa,ON,K1R 7X4,,613-238-8858,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,45.417264,-75.706929,2020-01-30,82901,2020-04-14 22:13:47 UTC,P,,,2014-06-15,,,,,J1772,CA,,Accessible 24 heures par jour; Å l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Algonquin Moon Bed & Breakfast,32 Swallowdale Rd,,Huntsville,ON,P1H 0A5,,705-788-3066,E,,Public - Call ahead,Dawn to dusk daily; donations accepted,,,,,,1,,,Non-Networked,,200-9,45.335467,-79.136714,2019-11-08,82902,2020-12-11 19:52:20 UTC,P,,,2014-06-15,,,,,J1772,CA,,Du lever au coucher du soleil tous les jours; dons acceptÃ©s,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Amosphere Complexe Hotelier,1031 Route 111 E,,Amos,QC,J9T 1N2,,819-732-7777,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,48.55973356037567,-78.10465139021301,2019-08-09,82904,2020-04-14 22:13:47 UTC,P,,,2014-02-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Arena Louis-Philippe Dalpe,2000 boul. Rene-Gaultier,,Varennes,QC,J3X 1N8,,450-652-9888,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.676313,-73.433481,2019-07-10,82905,2020-12-11 20:12:30 UTC,P,,,2015-06-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,ARENA,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Assurance Romeo Bessette et Fils Inc,815 rue Plante,,St-Jean-sur-Richelieu,QC,J3A 1M8,,450-359-8888  514-591-6357,E,,Public,24 hours daily; Also accepts donations,,,,,,1,,,Non-Networked,,200-9,45.327381,-73.272159,2021-02-12,82906,2021-02-12 22:01:39 UTC,P,,,2013-03-15,,,,,J1772,CA,,Accessible 24 heures par jour; Accepte aussi les dons,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Auberge Gouverneur Shawinigan,1100 Promenade du Saint-Maurice,,Shawinigan,QC,G9N 1L8,,888-922-1100,E,,Public,24 hours daily; for guests only,,,,,,1,,,Non-Networked,,200-9,46.5405404,-72.75470949999999,2020-04-10,82908,2020-04-14 22:13:47 UTC,P,,,2015-08-15,,,,,J1772,CA,,Accessible 24 heures par jour; pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Balls Falls Centre for Conservation,3292 Sixth Ave,,Lincoln,ON,L0R 1S0,,905-562-5235,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,43.133157,-79.386041,2020-11-09,82910,2020-11-09 22:37:02 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,REC_SPORTS_FACILITY,,,,,,,Free after 4 PM; free following parking payment during hours of operation,Gratuit après 16 h 00; gratuit après le paiement de stationnement pendant les heures d'ouverture,,,,,,,,
ELEC,Auberge la Goeliche,22 rue du Quai,,St-Petronille,QC,G0A 4C0,,418-828-2248,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,46.845153,-71.131891,2021-02-12,82911,2021-02-12 22:01:39 UTC,P,,,2014-08-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,BMR Yamachiche,1031 boul. Duchesne,,Yamachiche,QC,G0X 3L0,,819-296-3713,E,,Public,24 hours daily; for client use only,,,,,,1,,,Non-Networked,,200-9,46.29013734122007,-72.83629217063901,2019-06-06,82912,2020-04-14 22:13:47 UTC,P,,,2015-08-15,,,,,J1772,CA,,Accessible 24 heures par jour; Pour l'usage des clients seulement,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Arden Park Hotel,552 Ontario St,,Stratford,ON,N5A 3J3,,519-275-2936,E,,Public,24 hours daily; for guest use only; see front desk for access,,,,,,4,,,Non-Networked,,200-9,43.371629,-80.96369,2020-01-30,82914,2020-04-14 22:13:47 UTC,P,,,2016-06-15,,,,,J1772,CA,,Accessible 24 heures par jour; Å  l'usage des clients seulement; rendez-vous Ã  la rÃ©ception pour avoir accÃ¨s,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Baie-des-Sables,2370 Ch du Lac,,Lac Megantic,QC,G6B 2S5,,819-583-3965,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.589096,-70.936382,2019-09-11,82915,2020-04-14 22:13:47 UTC,P,,,2013-02-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,CAMPGROUND,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western - Belleville,387 N Front St,,Belleville,ON,K8P 3C8,,613-969-1112,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-8,44.189215,-77.396476,2019-10-10,82916,2020-10-29 20:36:28 UTC,P,,,2015-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western - Cairn Croft,6400 Lundy's Ln,,Niagara Falls,ON,L2G 6H2,,905-356-1161,E,,Public - Call ahead,24 hours daily; for guest use only; see front desk for access,,,,,,2,,,Non-Networked,,200-9,43.088776,-79.101054,2019-11-08,82918,2020-04-14 22:13:47 UTC,P,,,2012-01-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement; rendez-vous Ã  la rÃ©ception pour avoir accÃ¨s,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Plus - Cobourg Inn & Convention Centre,930 Burnham St,,Cobourg,ON,K9A 2X9,,905-372-2105,E,,Public,"24 hours daily, for hotel/restaurant guest use only",,,,,,1,,,Non-Networked,,200-9,43.972091,-78.191994,2020-11-09,82919,2020-11-09 22:37:02 UTC,P,,,2014-06-15,,,,,J1772,CA,,"Accessible 24 heures par jour, a l'usage des clients seulement",,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Albert Centre-Ville,84 Ave Principale,,Rouyn-Noranda,QC,J9X 4P2,,819-762-3545,E,,Public,24 hours daily; for guests only,,,,,,1,,,Non-Networked,,200-9,48.240888,-79.0204,2021-02-12,82920,2021-02-12 22:01:39 UTC,P,,,2014-02-15,,,,,J1772,CA,,Accessible 24 heures par jour; pour les clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Plus,1231 boul. Albiny Paquette,,Mont-Laurier,QC,J9L 1M6,,819-623-5252,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,46.552054,-75.476595,2020-12-08,82921,2020-12-08 19:44:26 UTC,P,,,2015-01-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Plus Hotel,420 boul. Monseigneur-Dubois,,St-Jerome,QC,J7Y 3L8,,450-438-1155,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,45.780488,-74.01704,2020-04-10,82922,2020-04-14 22:13:47 UTC,P,,,2016-06-15,,,,,J1772,CA,,Accessible 24 heures par jour; Å  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Parc des Chutes,3701 boul. Ducharme,,La Tuque,QC,G9X 4T4,,819-523-8200  819-523-5930,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,47.389023,-72.785041,2019-10-10,82924,2020-04-14 22:13:47 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,TRAVEL_CENTER,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western - Inn on the Bay,1800 2nd Ave E,,Owen Sound,ON,N4K 5R1,,519-371-9200,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,44.578532,-80.936692,2020-01-30,82925,2020-04-14 22:13:47 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
LPG,Bayfield Garage,9 Main St S,,Bayfield,ON,N0M 1G0,,519-565-2538,E,,Public,"8am-9pm daily (winter), 8am-8pm daily (summer); Also accepts Esso fleet card",A ARI Cash CFN D Debit EFS FleetOne M PHH Proprietor Speedway SuperPass V Voyager Wright_Exp,,,,,,,,,,200-8,43.560965,-81.695907,2019-10-10,82926,2020-04-14 22:13:47 UTC,P,,,1987-02-22,,,true,,,CA,,8:00-21:00 tous les jours (hiver); 8:00-20:00 tous les jours (Ã©tÃ©),,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,
ELEC,Cafe Morgane Jean-Xx-Iii,5680 boul. Jean-Xxiii,,Trois-Rivieres-Ouest,QC,G8Z 4B5,,819-841-0444,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,46.33286975052924,-72.59311847486879,2019-07-10,82927,2020-04-14 22:13:47 UTC,P,,,2015-03-05,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,RESTAURANT,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western - Lakeside Inn,470 1st Ave S,,Kenora,ON,P9N 1W5,,807-468-5521,E,,Public,24 hours daily; for guest or customer use only,,,,,,1,,,Non-Networked,,200-9,49.761421,-94.488448,2019-11-08,82928,2020-12-11 20:12:30 UTC,P,,,2013-01-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Caisse Desjardins,75 Av Saint-Laurent,,Louiseville,QC,J5V 1J6,,855-519-2366,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-9,46.255803,-72.941361,2019-10-10,82929,2020-11-30 20:43:19 UTC,P,,,2013-06-05,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,BANK,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Auberge la Seigneurie des Monts Inc,21 1re Ave E,,St-Anne-des-Monts,QC,G4V 1A2,,418-763-5308,E,,Public,24 hours daily; for clients use only,A Cash Checks M V,,,,,1,,,Non-Networked,,200-8,49.130298,-66.485228,2020-04-10,82930,2020-04-14 22:13:47 UTC,P,,,2016-06-15,,,,,J1772,CA,,"Accessible 24 heures par jour, pour les clients seulement",,Public,,public,,,HOTEL,,,,,,,$5 per charge for others,$5 de charge pour les autres,,,,,,,,
ELEC,Best Western - North Bay,700 Lakeshore Dr,,North Bay,ON,P1A 2G4,,705-474-5800,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,46.266569,-79.435513,2020-01-30,82931,2020-04-14 22:13:47 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour; Å  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western - Otonabee Inn,84 Lansdowne St E,,Peterborough,ON,K9J 6Z3,,705-742-3454,E,,Public,24 hours daily; for client use only,A Cash Debit M V,,,,,1,,,Non-Networked,,200-9,44.290061,-78.303055,2019-11-08,82932,2020-04-14 22:13:47 UTC,P,,,2014-06-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Pembroke Inn,1 International Dr,,Pembroke,ON,K8A 6W5,,613-735-0131,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,45.79871,-77.116359,2020-01-30,82933,2020-04-14 22:13:47 UTC,P,,,2015-01-15,,,,,J1772,CA,,Accessible 24 heures par jour; Å  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Centre le Sillon,3491 Ch Royal,,St-Francois-de-l'Ile-d'Orleans,QC,G0A 3S0,,418-829-3100,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,47.002766,-70.813254,2020-04-10,82935,2021-02-11 21:08:44 UTC,P,,,2015-09-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,MUNI_GOV,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Plus,349 Government St,,Dryden,ON,P8N 2P4,,807-223-3201,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,49.78736,-92.83394,2019-10-10,82937,2020-04-14 22:13:47 UTC,P,,,2015-09-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Château Repotel Henri IV,2500 Ave St Jean Baptiste,,Quebec,QC,G2E 6J5,,866-520-2022,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,GPS,46.80455099219761,-71.33162500230787,2020-04-10,82938,2020-04-14 22:13:47 UTC,P,,,2016-06-26,,,,,J1772,CA,,Accessible 24 heures par jour; Å  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Plus- Brant Park Inn,19 Holiday Dr,,Brantford,ON,N3R 7J4,,519-753-8651,E,,Public,24 hours daily; for guest use only,,,,,,1,,,Non-Networked,,200-9,43.163715,-80.240786,2019-10-10,82939,2020-04-14 22:13:47 UTC,P,,,2013-05-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Chocolaterie de l'Ile d'Orleans,150 Ch du Bout de l'Ile,,St-Petronille,QC,G0A 4C0,,418-828-2252,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,46.8538613,-71.133391,2021-02-12,82940,2021-02-12 22:01:39 UTC,P,,,2014-06-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,RESTAURANT,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Domaine & Vins Gelinas,267 Rang de Saint-François-de-Pique-Dur,,St-Sévère,QC,G0X 3B0,,819-264-5511,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,46.38041530981631,-72.92953229916384,2020-04-10,82941,2020-04-14 22:13:47 UTC,P,,,2016-10-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,RESTAURANT,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Ecole de Sainte-Famille,2482 Ch Royal,,St-Famille,QC,G0A 3P0,,418-829-3572  418-829-0297,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,46.973152,-70.962167,2020-04-10,82943,2020-04-14 22:13:47 UTC,P,,,2014-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,SCHOOL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Kingston - Fireside,1217 Princess St,,Kingston,ON,K7M 3E1,,613-549-2211,E,,Public,24 hours daily; for guest use only; see front desk for access,,,,,,1,,,Non-Networked,,200-9,44.246733,-76.522762,2020-11-09,82944,2020-11-09 22:37:02 UTC,P,,,2013-10-15,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement; rendez-vous Ã  la réception pour avoir accès,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Esterel Resort,39 Chemin Fridolin-Simard,,Estérel,QC,J0T 1E0,,450-228-2571,E,,Public,24 hours daily; for guest use only,,,,,,2,,,Non-Networked,,GPS,46.03617997485662,-74.0262212010498,2019-08-09,82946,2020-04-14 22:13:47 UTC,P,,,2018-04-20,,,,,J1772,CA,,Accessible 24 heures par jour; Ã  l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Hotel Baker,178 rue de la Reine,,Gaspe,QC,G4X 1T6,,418-368-3355,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,48.827861,-64.48693,2019-09-11,82948,2020-04-14 22:13:47 UTC,P,,,2012-03-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
LPG,Dub-L-E Auto Service,390 Arthur St S,,Elmira,ON,N3B 2P6,,519-669-2015,E,,Public,8am-8pm daily; Also accepts ESSO fleet card,A ARI Cash CFN Comdata Debit EFS M PacificPride Proprietor V Wright_Exp,,,,,,,,,,200-9,43.575896,-80.563939,2019-10-10,82949,2020-04-14 22:13:47 UTC,P,,,,,,true,,,CA,,8:00-20:00 tous les jours,,Public,,public,,,GAS_STATION,,,,,,,,,"[""ACME""]",,,,,,,
ELEC,Riotel Matane,250 Av du Phare E,,Matane,QC,G4W 3N4,,877-566-2651,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-8,48.852204,-67.524649,2019-09-11,82950,2020-12-04 22:19:48 UTC,P,,,2013-02-15,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Best Western Plus - City Centre,1274 Carling Ave,,Ottawa,ON,K1Z 7K8,,613-728-1951,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.385821,-75.732949,2020-01-30,82952,2020-04-14 22:13:47 UTC,P,,,2017-02-01,,,,,J1772,CA,,Accessible 24 heures par jour,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
ELEC,Hotel Gouverneur,975 rue Hart,,Trois-Rivieres,QC,G9A 4S3,,819-379-4550,E,,Public,24 hours daily; free for guest use only,,,,,,3,,,Non-Networked,,GPS,46.34423140288962,-72.54039137168883,2020-12-08,82954,2020-12-08 19:44:26 UTC,P,,,2016-09-15,,,,,J1772,CA,,Accessible 24 heures par jour; gratuit à l'usage des clients seulement,,Public,,public,,,HOTEL,,,,,,,Free,Gratuit,,,,,,,,
LPG,Esso,Highway 62 S RR 1,,Bancroft,ON,K0L 1C0,,613-332-5474,E,,Public,9am-6pm M-F; 6:30am-6pm Sat; 7:30am-6pm Sun; Also accepts ESSO fleet card,A ARI Cash CFN CleanEnergy Comdata D Debit EFS M PacificPride Proprietor V Wright_Exp,,,,,,,,,,GPS,45.040642,-77.830702,2019-10-10,82955,2020-12-01 16:45:54 UTC,P,,,1985-02-22,,,true,,,CA,,5:30-18:00 LUN-VEN; 6:30-18:00 SAM; 7:30-18:00 DIM,,Public,,public,,,GAS_STATION,,,,,,,,,"[""QUICK_CONNECT""]",,,,,,,
